"","router","no_hosts","message_size","sim_time","created","started","relayed","aborted","dropped","removed","delivered","delivery_prob","response_prob","overhead_ratio","latency_avg","latency_med","hopcount_avg","hopcount_med","buffertime_avg","buffertime_med","rtt_avg","rtt_med"
"1","Epidemic","100","1.5","43200.1000","1459","149407","148872","535","149639","0","91","0.0624","0.0000","1634.9560","1739.1165","1350.2000","13.1209","11","169.8354","88.3000","NaN","NaN"
"2","Epidemic","100","1","43200.1000","1459","262459","262457","2","262803","0","107","0.0733","0.0000","2451.8692","1805.5486","1495.9000","13.8224","10","160.9618","83.2000","NaN","NaN"
"3","Epidemic","100","2.5","43200.1000","1459","100778","100014","764","100989","0","81","0.0555","0.0000","1233.7407","1645.3383","1175.2000","11.5062","9","168.1591","86.3000","NaN","NaN"
"4","Epidemic","100","2","43200.1000","1459","98766","98394","372","99380","0","68","0.0466","0.0000","1445.9706","1653.5176","1331.7000","12.8382","10","170.8733","86.0000","NaN","NaN"
"5","Epidemic","100","3.5","43200.1000","1459","47697","47194","503","48396","0","56","0.0384","0.0000","841.7500","1532.3339","1089.4000","13.8571","9","175.2153","84.1000","NaN","NaN"
"6","Epidemic","100","3","43200.1000","1459","49677","49301","376","50504","0","53","0.0363","0.0000","929.2075","1531.0547","1085.8000","10.5660","8","168.2662","80.8000","NaN","NaN"
"7","Epidemic","100","4.5","43200.1000","1459","49528","48805","723","50007","0","55","0.0377","0.0000","886.3636","1641.5800","930.6000","12.3455","9","169.7874","83.8000","NaN","NaN"
"8","Epidemic","100","4","43200.1000","1459","47758","47253","505","48457","0","54","0.0370","0.0000","874.0556","1526.5407","1089.4000","13.8704","9","174.9939","84.1000","NaN","NaN"
"9","Epidemic","100","5.5","43200.1000","1459","0","0","0","855","0","0","0.0000","0.0000","NaN","NaN","NaN","NaN","0","17971.3911","17970.4000","NaN","NaN"
"10","Epidemic","100","0.5","43200.1000","1459","546585","546578","5","545887","0","139","0.0953","0.0000","3931.2158","1876.6540","1331.6000","13.7338","10","154.5416","81.7000","NaN","NaN"
"11","Epidemic","100","5","43200.1000","1459","49679","48948","731","50149","0","56","0.0384","0.0000","873.0714","1617.5214","930.6000","12.1786","9","169.3064","83.7000","NaN","NaN"
"12","Epidemic","150","1.5","43200.1000","1458","301974","300483","1490","300955","0","77","0.0528","0.0000","3901.3766","1711.0338","1246.8000","16.6753","12","126.5128","61.5000","NaN","NaN"
"13","Epidemic","150","1","43200.1000","1458","553904","553895","8","553736","0","102","0.0700","0.0000","5429.3431","2033.7500","1463.2000","21.0882","15","114.5817","54.9000","NaN","NaN"
"14","Epidemic","150","2.5","43200.1000","1458","200679","198723","1954","199494","0","77","0.0528","0.0000","2579.8182","1763.9519","1280.2000","17.0519","13","127.3012","60.9000","NaN","NaN"
"15","Epidemic","150","2","43200.1000","1458","199240","198185","1054","198962","0","76","0.0521","0.0000","2606.6974","1741.4039","1085.3000","17.0000","10","127.8369","59.8000","NaN","NaN"
"16","Epidemic","150","3.5","43200.1000","1458","98978","97533","1444","98633","0","54","0.0370","0.0000","1805.1667","1486.6852","796.6000","15.5185","10","128.8875","56.9000","NaN","NaN"
"17","Epidemic","150","3","43200.1000","1458","103298","102270","1028","103350","0","71","0.0487","0.0000","1439.4225","1774.4155","1150.4000","15.6056","12","123.1429","54.7000","NaN","NaN"
"18","Epidemic","150","4.5","43200.1000","1458","103603","101696","1906","102780","0","63","0.0432","0.0000","1613.2222","1792.6825","1188.8000","15.6984","10","123.5812","57.1000","NaN","NaN"
"19","Epidemic","150","4","43200.1000","1458","98980","97531","1448","98632","0","53","0.0364","0.0000","1839.2075","1512.3170","796.6000","15.7547","10","128.8889","56.8000","NaN","NaN"
"20","Epidemic","150","5.5","43200.1000","1458","0","0","0","853","0","0","0.0000","0.0000","NaN","NaN","NaN","NaN","0","17969.5349","17970.0000","NaN","NaN"
"21","Epidemic","150","0.5","43200.1000","1458","1142448","1142437","9","1140752","0","118","0.0809","0.0000","9680.6695","1964.6025","1254.0000","19.6441","13","111.0453","54.8000","NaN","NaN"
"22","Epidemic","150","5","43200.1000","1458","103559","101652","1906","102737","0","62","0.0425","0.0000","1638.5484","1818.5661","1242.1000","15.9032","13","123.6336","57.1000","NaN","NaN"
"23","Epidemic","50","1.5","43200.1000","1463","51135","51022","113","52035","0","150","0.1025","0.0000","339.1467","1639.3087","1085.2000","8.2667","6","243.9656","141.0000","NaN","NaN"
"24","Epidemic","50","1","43200.1000","1463","84223","84221","2","85044","0","169","0.1155","0.0000","497.3491","1759.9675","1334.1000","8.7751","6","248.3851","143.1000","NaN","NaN"
"25","Epidemic","50","2.5","43200.1000","1463","33464","33319","145","34450","0","132","0.0902","0.0000","251.4167","1521.1197","968.8000","7.5833","5","246.0339","141.5000","NaN","NaN"
"26","Epidemic","50","2","43200.1000","1463","33883","33803","80","34943","0","123","0.0841","0.0000","273.8211","1585.3423","1080.9000","7.6504","6","242.7730","138.4000","NaN","NaN"
"27","Epidemic","50","3.5","43200.1000","1463","17013","16909","104","18182","0","90","0.0615","0.0000","186.8778","1197.5189","800.3000","6.1333","5","232.6167","134.5000","NaN","NaN"
"28","Epidemic","50","3","43200.1000","1463","16972","16890","82","18169","0","84","0.0574","0.0000","200.0714","1173.8167","740.0000","6.1786","5","232.8919","134.4000","NaN","NaN"
"29","Epidemic","50","4.5","43200.1000","1463","17006","16856","150","18128","0","91","0.0622","0.0000","184.2308","1559.2418","918.4000","7.3187","5","233.0391","135.6000","NaN","NaN"
"30","Epidemic","50","4","43200.1000","1463","17021","16914","107","18187","0","90","0.0615","0.0000","186.9333","1197.5200","800.3000","6.1333","5","232.5479","134.3000","NaN","NaN"
"31","Epidemic","50","5.5","43200.1000","1463","0","0","0","857","0","0","0.0000","0.0000","NaN","NaN","NaN","NaN","0","17969.1490","17969.6000","NaN","NaN"
"32","Epidemic","50","0.5","43200.1000","1463","172021","172019","1","172281","0","202","0.1381","0.0000","850.5792","1887.4045","1403.4000","9.5050","7","243.4935","140.7000","NaN","NaN"
"33","Epidemic","50","5","43200.1000","1463","16992","16844","148","18115","0","92","0.0629","0.0000","182.0870","1568.7337","930.5000","7.3478","5","233.1972","135.6000","NaN","NaN"
"34","Prophet","100","1.5","43200.1000","1459","282130","280406","1723","280969","0","270","0.1851","0.0000","1037.5407","2738.1022","2027.8000","6.3481","5","88.2862","19.0000","NaN","NaN"
