message_sizes,protocol, no_hosts,sim_time, created, started, relayed, aborted, dropped, removed, delivered, delivery_prob, response_prob, overhead_ratio, latency_avg, latency_med, hopcount_avg, hopcount_med, buffertime_avg, buffertime_med, rtt_avg, rtt_med
"""10M-25M""","""Epidemic""",100,43200.1,1459,577,0,577,1313,0,0,0,0,NaN,NaN,NaN,NaN,0,4072.7495,2669.2,NaN,NaN
"""1M-5M""","""Epidemic""",100,43200.1,1459,202924,59938,142973,60419,0,73,0.05,0,820.0685,4043.5781,3472.1,8.1781,8,614.6797,399.2,NaN,NaN
"""25M-50M""","""Epidemic""",100,43200.1,1460,595,0,595,1310,0,0,0,0,NaN,NaN,NaN,NaN,0,3943.374,2481.6,NaN,NaN
"""500k-1M""","""Epidemic""",100,43200.1,1459,325081,182175,142885,180920,0,288,0.1974,0,631.5521,3891.0062,2981.6,8.0104,7,543.3231,367.2,NaN,NaN
"""5M-10M""","""Epidemic""",100,43200.1,1459,621,4,617,1315,0,0,0,0,NaN,NaN,NaN,NaN,0,4088.9906,2694.2,NaN,NaN
"""10M-25M""","""Epidemic""",50,43200.1,720,0,0,720,1343,0,0,0,0,NaN,NaN,NaN,NaN,0,2699.0902,1633,NaN,NaN
"""1M-5M""","""Epidemic""",50,43200.1,1459,52017,14641,37373,15659,0,52,0.0363,0,275.2453,4629.0226,3535.9,6.0943,5,952.426,648,NaN,NaN
"""25M-50M""","""Epidemic""",50,43200.1,1460,750,0,750,1363,0,0,0,0,NaN,NaN,NaN,NaN,0,2818.6904,1707.8,NaN,NaN
"""500k-1M""","""Epidemic""",50,43200.1,1459,84175,45435,38734,45280,0,240,0.233,0,132.6324,3607.6006,2633.7,4.5794,4,1066.7801,737.6,NaN,NaN
"""5M-10M""","""Epidemic""",50,43200.1,1459,732,2,730,1344,0,0,0,0,NaN,NaN,NaN,NaN,0,2697.7967,1633,NaN,NaN
"""10M-25M""","""Prophet""",100,43200.1,1459,554,0,554,1304,0,0,0,0,NaN,NaN,NaN,NaN,0,4301.4918,2984.1,NaN,NaN
"""1M-5M""","""Prophet""",100,43200.1,1459,155040,36121,118909,36753,0,92,0.0631,0,391.6196,4701.3391,3855,5.0543,4,734.2472,402.6,NaN,NaN
"""25M-50M""","""Prophet""",100,43200.1,1460,574,0,574,1305,0,0,0,0,NaN,NaN,NaN,NaN,0,4108.4461,2559.6,NaN,NaN
"""500k-1M""","""Prophet""",100,43200.1,1459,274239,136546,137672,135559,0,388,0.2659,0,360.9227,3823.8116,2804,3.5515,4,624.6151,349.2,NaN,NaN
"""5M-10M""","""Prophet""",100,43200.1,1459,570,3,567,1305,0,0,0,0,NaN,NaN,NaN,NaN,0,4310.1718,2984.1,NaN,NaN
"""10M-25M""","""Prophet""",50,43200.1,1459,573,0,573,1309,0,0,0,0,NaN,NaN,NaN,NaN,0,3695.9202,2556.1,NaN,NaN
"""1M-5M""","""Prophet""",50,43200.1,1459,35413,7812,27599,8998,0,48,0.0329,0,161.75,5229.0146,3384.1,3.8125,4,1155.823,618.5,NaN,NaN
"""25M-50M""","""Prophet""",50,43200.1,1460,608,0,608,1316,0,0,0,0,NaN,NaN,NaN,NaN,0,3639.309,2467.1,NaN,NaN
"""500k-1M""","""Prophet""",50,43200.1,1459,71454,34982,36467,35073,0,295,0.2022,0,117.5831,4213.3234,3005,3.2949,3,1209.7294,722.4,NaN,NaN
"""5M-10M""","""Prophet""",50,43200.1,1459,573,0,573,1309,0,0,0,0,NaN,NaN,NaN,NaN,0,3695.9202,2556.1,NaN,NaN
