time,digital,analog
1550152323.139770,0,0
1550152323.244924,0,0
1550152323.350021,0,0
1550152323.455099,0,0
1550152323.560178,0,0
1550152323.665255,0,0
1550152323.770454,0,0
1550152323.875759,0,0
1550152323.981051,0,1
1550152324.086378,0,0
1550152324.191670,0,0
1550152324.296968,0,0
1550152324.402269,0,0
1550152324.507535,0,0
1550152324.612832,0,0
1550152324.718105,0,1
1550152324.823397,0,0
1550152324.928664,0,0
1550152325.033960,0,0
1550152325.139228,0,0
1550152325.244526,0,0
1550152325.349792,0,0
1550152325.455090,0,0
1550152325.560365,0,0
1550152325.665659,0,0
1550152325.770925,0,104
1550152325.876217,0,283
1550152325.981481,0,467
1550152326.086775,0,647
1550152326.192044,0,737
1550152326.297320,0,791
1550152326.402589,0,749
1550152326.507881,0,525
1550152326.613190,0,288
1550152326.718490,0,95
1550152326.823835,0,0
1550152326.929175,0,0
1550152327.034472,0,0
1550152327.139759,0,111
1550152327.245054,0,294
1550152327.350353,0,484
1550152327.455653,0,655
1550152327.560960,0,803
1550152327.666258,0,841
1550152327.771561,0,746
1550152327.876878,0,504
1550152327.982210,0,296
1550152328.087501,0,124
1550152328.192792,0,39
1550152328.298080,0,108
1550152328.403374,0,327
1550152328.508670,0,544
1550152328.613966,0,642
1550152328.719258,0,642
1550152328.824595,0,642
1550152328.929907,0,641
1550152329.035199,0,642
1550152329.140489,0,640
1550152329.245785,0,641
1550152329.351075,0,642
1550152329.456375,0,642
1550152329.561669,0,642
1550152329.666966,0,642
1550152329.772262,0,642
1550152329.877554,0,642
1550152329.982846,0,642
1550152330.088137,0,642
1550152330.194098,0,642
1550152330.299396,1,642
1550152330.404691,1,644
1550152330.509986,0,642
1550152330.615338,0,642
1550152330.720666,1,641
1550152330.825968,1,642
1550152330.931269,1,642
1550152331.036559,0,643
1550152331.141856,0,642
1550152331.247155,1,642
1550152331.352451,1,642
1550152331.457742,0,642
1550152331.563036,0,642
1550152331.668716,1,642
1550152331.774019,1,642
1550152331.879309,0,642
1550152331.984607,0,642
1550152332.089905,0,642
1550152332.195216,1,642
1550152332.300523,1,642
1550152332.405843,0,642
1550152332.511203,0,642
1550152332.617225,0,642
1550152332.722548,1,642
1550152332.827895,1,642
1550152332.933214,0,641
1550152333.038491,0,642
1550152333.143786,0,642
1550152333.249078,0,642
1550152333.354377,0,642
1550152333.459670,0,642
1550152333.564964,0,642
1550152333.670272,0,642
1550152333.775567,0,642
1550152333.880891,0,641
1550152333.986203,0,642
