cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
NA,NA,NA,/years/96_97/2015-05-25-housemates/,Stuart Scott,by Stuart Scott,by Stuart Scott,NA,1996-97 (Dates Unknown),In House,Housemates,show,Co-op Arts Theatre,1996-97
NA,NA,NA,/years/00_01/a_dolls_house/,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen,NA,2000-01 (Dates Unknown),In House,A Doll's House,show,New Theatre,2000-01
Sophie Bostock/David Grainger/,NA,NA,/years/00_01/a_streetcar_named_desire/,Tennessee Williams,by Tennessee Williams,by Tennessee Williams,NA,2000-01 (Dates Unknown),In House,A Streetcar Named Desire,show,New Theatre,2000-01
NA,NA,NA,/years/00_01/black_comedy/,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,NA,2000-01 (Dates Unknown),In House,Black Comedy,show,New Theatre,2000-01
Jamie Griffiths/,NA,NA,/years/00_01/breakfast_not_included/,null,Playwright Unknown,Playwright Unknown,NA,2000-01 (Dates Unknown),In House,Breakfast Not Included,show,New Theatre,2000-01
Valmont/,NA,NA,/years/00_01/dangerous_liaisons/,Christopher Hampton,by Christopher Hampton,by Christopher Hampton,NA,2000-01 (Dates Unknown),In House,Dangerous Liaisons,show,New Theatre,2000-01
Michael Longhurst/,NA,NA,/years/00_01/equus/,Peter Shaffer,by Peter Shaffer,by Peter Shaffer,NA,2000-01 (Dates Unknown),In House,Equus,show,New Theatre,2000-01
NA,NA,NA,/years/00_01/in_bed_with_sue_lawley/,null,Playwright Unknown,Playwright Unknown,NA,2000-01 (Dates Unknown),Edinburgh,In Bed With Sue Lawley,show,null,2000-01
Emily Hawkins/,NA,NA,/years/00_01/lady_windermeres_fan/,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,NA,2000-01 (Dates Unknown),In House,Lady Windermere's Fan,show,New Theatre,2000-01
Ruth Wilson/James Browne/Nick Belcher/James Erskine/,Caroline Cracknell/,NA,/years/00_01/the_hush/,null,Devised,Devised,NA,2000-01 (Dates Unknown),Edinburgh,The Hush,show,null,2000-01
David Grainger/,NA,NA,/years/00_01/the_rocky_horror_show/,Richard O'Brien,by Richard O'Brien,by Richard O'Brien,NA,2000-01 (Dates Unknown),In House,The Rocky Horror Show,show,New Theatre,2000-01
Amy Goodall/Caroline Jones/Ged Pfeifer/Henry Filloux-Bennett/John Cuzick/Judith Thei/Michael Hyde/,Alexandra Turner/Mike Cook/Ben Richards/,2002-06-03,/years/01_02/age_concern/,null,Devised,Devised,<a href='/years/01_02/age_concern/'><img src='https://photos.smugmug.com/photos/i-8cFpzMc/0/84be0a8f/128x162/i-8cFpzMc-128x162.jpg' class='search-result-poster-thumb' alt='Age Concern poster' /></a>,3 June 2002,In House,Age Concern,show,New Theatre,2001-02
NA,Robert Wicks/,2001-12-05,/years/01_02/cabaret/,Christopher Isherwood/John Kander and Fred Ebb,by Christopher Isherwood/John Kander and Fred Ebb,by Christopher Isherwood/John Kander and Fred Ebb,NA,5-8 December 2001,In House,Cabaret,show,Djanogly Theatre,2001-02
Martina Heron/Andrew Grant/,Alex Gilham/Sarah Ball/Kat Barnard/Stuart Andrews/Hannah Stevens/Judith Thei/Chris Brammeld/Sophie Wardell/Mike Pearson/Phil Pooley/David Wills/,2002-03-19,/years/01_02/educating_rita/,Willy Russell,by Willy Russell,by Willy Russell,<a href='/years/01_02/educating_rita/'><img src='https://photos.smugmug.com/photos/i-GJnz7Pg/0/a48b28f2/128x162/i-GJnz7Pg-128x162.jpg' class='search-result-poster-thumb' alt='Educating Rita poster' /></a>,19-22 March 2002,In House,Educating Rita,show,New Theatre,2001-02
Joseph Arkley/Katie Hartwill/Ali Sherriffs/Helen Townsend/Anneliese Mackintosh/Christopher Stephen/George Kaye/Ben Bergin/Stephanie Lane/Cat McCotter/Bush/,Lynette Shanbury/Alison Carr/Alison Griffiths/Mike Cook/Robert Wicks/Suzy Freake/,2002-03-06,/years/01_02/habeas_corpus/,Alan Bennett,by Alan Bennett,by Alan Bennett,<a href='/years/01_02/habeas_corpus/'><img src='https://photos.smugmug.com/photos/i-MwLdd3H/0/9dbe51d6/128x162/i-MwLdd3H-128x162.jpg' class='search-result-poster-thumb' alt='Habeas Corpus poster' /></a>,6-9 March 2002,In House,Habeas Corpus,show,New Theatre,2001-02
Sam Taylor/,NA,2001-11-27,/years/01_02/hamlet/,William Shakespeare,by William Shakespeare,by William Shakespeare,NA,27-30 November 2001,In House,Hamlet,show,New Theatre,2001-02
Stuart Barter/Nicola Snarey/Jessica Danby/Ben Murphy/Felicity Plester/Nicola Snarey/Anna Blank/Jessica Danby/Anna E. Lipinkski/Ajay Khari/Catherine Paskell/Anna E. Lipinkski/Felicity Plester/,Will Openshaw/Jo Harris/Victoria Kent/Sven Banham/Jenny Kent/James Law/Ajay's Dad/,NA,/years/01_02/in_bed_with_sue_lawley/,Will Openshaw,by Will Openshaw,by Will Openshaw,<a href='/years/01_02/in_bed_with_sue_lawley/'><img src='https://photos.smugmug.com/photos/i-VgzGjt7/0/bcb95886/128x162/i-VgzGjt7-128x162.jpg' class='search-result-poster-thumb' alt='In Bed With Sue Lawley poster' /></a>,2001-02 (Dates Unknown),In House,In Bed With Sue Lawley,show,New Theatre,2001-02
Fiona Johnson/Crystal Potter/Anneliese Graham/Jessica Taylor/Euan Lawrence/John Griffin/Ammo Sahota/Ajay Khari/,Ben Richards/James Law/Lauren Pownall/Alexandra Turner/Alex Fanghanel/Sam Watts/Sven Banham/Ben Richards/Stuart Andrews/Stephanie Lane/Alex Gilham/Judith Thei/Adam Godden/Marni Miller-Becker/Joseph Arkley/Ben Bergin/Tom King/Amy Stone/James Law/,2002-05-01,/years/01_02/let_my_people_go/,Ben Richards,by Ben Richards,by Ben Richards,<a href='/years/01_02/let_my_people_go/'><img src='https://photos.smugmug.com/photos/i-SQssZCw/0/f2bef9fb/128x162/i-SQssZCw-128x162.jpg' class='search-result-poster-thumb' alt='Let My People Go poster' /></a>,1-4 May 2002,In House,Let My People Go,show,New Theatre,2001-02
